blockfacename,paidparkingarea,avg_occupancy,peak_hour_occupancy,spaces,hours_over_target,hours_under_target,hours_on_target,mean_adjustment,max_adjustment,min_adjustment,peak_hour,primary_action,paidparkingsubarea,lat,lon,time_limit,n_meters
WESTERN AVE BETWEEN BELL ST AND BATTERY ST,Belltown,0.373,0.601,6.0,0,12,0,-1.417,-0.25,-2.0,13,decrease,North,47.61303517,-122.34807888,240.0,1
WESTERN AVE BETWEEN BLANCHARD ST AND BELL ST,Belltown,0.409,0.766,12.0,0,10,2,-1.25,0.0,-2.0,13,decrease,South,47.61232947,-122.34673134,120.0,2
WESTERN AVE BETWEEN BROAD ST AND EAGLE ST,Belltown,0.556,0.678,18.0,0,12,0,-0.688,-0.25,-2.0,13,decrease,North,47.616645645000006,-122.354046445,240.0,2
WESTERN AVE BETWEEN CEDAR ST AND CLAY ST,Belltown,0.248,0.341,13.0,0,12,0,-1.958,-1.75,-2.0,14,decrease,North,47.615407415,-122.351932695,240.0,2
WESTERN AVE BETWEEN CLAY ST AND BROAD ST,Belltown,0.434,0.581,10.0,0,12,0,-1.104,-0.5,-2.0,13,decrease,North,47.61595942,-122.352867665,240.0,2
WESTERN AVE BETWEEN EAGLE ST AND BAY ST,Belltown,0.372,0.568,24.0,0,12,0,-1.354,-0.5,-2.0,13,decrease,North,47.617398485,-122.355328775,240.0,2
WESTERN AVE BETWEEN LENORA ST AND BLANCHARD ST,Belltown,0.5,0.669,21.0,0,12,0,-0.833,-0.25,-2.0,12,decrease,South,47.611633025,-122.34555652,120.0,2
WESTERN AVE BETWEEN PINE ST AND VIRGINIA ST,Belltown,0.537,0.686,11.0,0,12,0,-0.75,-0.25,-2.0,19,decrease,South,47.60974531,-122.34291935,120.0,1
WESTERN AVE BETWEEN VINE ST AND CEDAR ST,Belltown,0.546,0.679,17.0,0,12,0,-0.688,-0.25,-1.5,13,decrease,North,47.61485207,-122.350993505,240.0,2
WESTERN AVE BETWEEN VIRGINIA ST AND LENORA ST,Belltown,0.767,0.945,13.0,3,2,7,-0.146,0.25,-2.0,11,hold,South,47.61077248,-122.34410222,120.0,2
WESTERN AVE BETWEEN WALL ST AND VINE ST,Belltown,0.389,0.494,15.0,0,12,0,-1.417,-1.0,-2.0,14,decrease,North,47.61430934,-122.35007612,240.0,2
